customercategory,subcategories,productshortname,producttype,size_1,size_2,size_3,size_4,conditionresponse1,conditionresponse2,conditionresponse3,conditionresponse4,additional_1,additional_2,industrycategory,additional_4,industrycategory,brand_1,brand_2,brand_3,brand_4,other,data_erase,package_required,sponsored_pickup,sponsored_dropoff,sponsered_program,dg_itemdanger,auto_put_aside,void_pick_up,void_drop_off,void_post_back,void_kerbside,dg_surcharge,donatable,other_surcharge,description,handle_pack_instruction,weight_size_1,weight_size_2,weight_size_3,weight_size_4,volume_size_1,volume_size_2,volume_size_3,volume_size_4,length/height_1,length/height_2,length/height_3,length/height_4,width_1,width_2,width_3,width_4,depth_1,depth_2,depth_3,depth_4,is_by_catch,by_catch_owners,product-sets,enabled,sizes,weights,weightcheck,lengths,widths,depth,dimsenquiry,gooddata?,error,combo,countinitemsets,vinniessets,activgroupset,councils,ecocycleptyltd,sims,tesammaustraliaptyltd,cleanaway,toxfree,generic,"densitycheck-size1
(defaultis999)","densitycheck-size2
(defaultis999)","densitycheck-size3
(defaultis999)","densitycheck-size4
(defaultis999)",flaggeddensity,ecocycleptyltd.1,sims.1,tesammaustraliaptyltd.1,cleanaway.1,toxfree.1,checker,checker.1
Computer and Electronics,Computer Parts,Adapter,Portable,Small,Medium,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,No,Yes,,,,,35.0,yes,,Physical devices that allow one hardware or electronic interface to be adapted to another hardware or electronic interface.,The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,0.3,30.0,40.0,5.0,35.0,,,,5.0,85.0,85.0,30.0,5.0,35.0,55.0,30.0,6.0,45.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Adapter,20,e-waste,Apple-sponsored,Small ewaste,0,0,0,0,0,0,2000.0,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Electrical and Appliances,Heating and Cooling,Air Conditioner,Portable,Small,Medium,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,Yes,Yes,,,,,35.0,yes,,Includes all types and models of portable air conditioners that are not fixed to a wall or part of an internal system.,The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,20.0,30.0,40.0,5.0,35.0,,,,75.0,85.0,85.0,30.0,30.0,35.0,55.0,30.0,35.0,45.0,35.0,15.0,Y,ACON,,,3,3,OK,3,3,3,OK,True,,Air ConditionerPortable,11,appliances,LOSS,ewaste,0,0,0,0,0,0,253.968254,224.0896359,244.4614209,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Electrical and Appliances,Heating and Cooling,Air Conditioner,Wall Split System,Small,Medium,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,Yes,Yes,,,,,35.0,yes,,Includes all types and models of wall mounted split system units.,The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,100.0,30.0,40.0,5.0,35.0,,,,120.0,85.0,85.0,30.0,40.0,35.0,55.0,30.0,120.0,45.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Air ConditionerWall Split System,9,0,LOSS,ewaste,0,0,0,0,0,0,173.6111111,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Electrical and Appliances,Heating and Cooling,Air Conditioner,Window,Small,Large,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,Yes,Yes,,,,,35.0,yes,,This item is a single unit that is assembled in a casing where all the components are located. This refrigeration unit also has a double shaft fan motor with fans mounted on both sides of the motor,The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,60.0,80.0,40.0,5.0,35.0,,,,60.0,70.0,85.0,30.0,70.0,80.0,55.0,30.0,80.0,90.0,35.0,15.0,Y,ACON,,,2,2,OK,2,2,2,OK,True,,Air ConditionerWindow,9,0,LOSS,ewaste,0,0,0,0,0,0,178.5714286,158.7301587,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Electrical and Appliances,Heating and Cooling,Air Purifier,Window,Portable,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,No,Yes,,,,,35.0,yes,,"This includes all models, makes and sizes of Air Purifiers",The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,5.0,15.0,40.0,5.0,35.0,,,,50.0,60.0,85.0,30.0,35.0,40.0,55.0,30.0,20.0,40.0,35.0,15.0,Y,ACON,,,2,2,OK,2,2,2,OK,True,,Air Purifier,11,e-waste,Small,ewaste,0,0,0,0,0,0,142.8571429,156.25,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Audio and Sound,AirPods or Earpods,Window,Portable,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,No,Yes,,,,,35.0,yes,,Includes all types and models of AirPods or wireless Bluetooth earbuds,The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,0.1,15.0,40.0,5.0,35.0,,,,6.0,60.0,85.0,30.0,5.0,40.0,55.0,30.0,3.0,40.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,AirPods or Earpods,20,e-waste,Apple,Small ewaste,0,0,0,0,0,0,1111.111111,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Measuring Tools,Amperemeter,Window,Portable,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,No,Yes,,,,,35.0,yes,,"An Amperemeter, or Ammeter , is an electronic device (measuring instrument) used to measure the current in a circuit. ",The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,0.8,15.0,40.0,5.0,35.0,,,,7.0,60.0,85.0,30.0,7.0,40.0,55.0,30.0,6.0,40.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Amperemeter,13,e-waste,Micro,Small ewaste,0,0,0,0,0,0,2721.088435,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Computers and Tablets,Android Tablet,Window,Portable,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,Yes,No,No,No,No,No,Yes,,,,,35.0,yes,,"This includes all tablets across all manufacturers, styles and models.",The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,1.0,15.0,40.0,5.0,35.0,,,,19.0,60.0,85.0,30.0,12.0,40.0,55.0,30.0,1.0,40.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Android Tablet,19,0,Apple-sponsored,Small ewaste,0,0,0,0,0,0,4385.964912,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Phones and Other Devices,Answering Machine,Window,Portable,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,No,Yes,,,,,35.0,yes,,Use for all types and models of answering machine devices.,The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,3.0,15.0,40.0,5.0,35.0,,,,15.0,60.0,85.0,30.0,20.0,40.0,55.0,30.0,5.0,40.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Answering Machine,12,e-waste,Small,ewaste,0,0,0,0,0,0,2000.0,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Computers and Tablets,Apple Airport Express,Window,Portable,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,No,Yes,,,,,35.0,yes,,Portable devices designed and developed by Apple to allow multiple devices to stream via internet and extend the range of an existing wireless network.,The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,1.0,15.0,40.0,5.0,35.0,,,,9.9,60.0,85.0,30.0,9.9,40.0,55.0,30.0,2.3,40.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Apple Airport Express,18,e-waste,Apple,ewaste,0,0,0,0,0,0,4436.104568,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Computers and Tablets,Apple Airport Extreme,Window,Portable,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,No,Yes,,,,,35.0,yes,,"Residential gateway device designed and developed by Apple which combines the functions of a router, network switch, wireless access point and NAS as well as varied other functions.",The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,1.0,15.0,40.0,5.0,35.0,,,,16.7,60.0,85.0,30.0,9.8,40.0,55.0,30.0,9.8,40.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Apple Airport Extreme,18,e-waste,Apple,ewaste,0,0,0,0,0,0,623.4927064,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Computer Parts,Apple Keyboard,Window,Portable,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,No,Yes,,,,,35.0,yes,,Apple designed and manufactured models of portable & detachable keyboard,The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,0.3,15.0,40.0,5.0,35.0,,,,27.9,60.0,85.0,30.0,11.49,40.0,55.0,30.0,1.1,40.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Apple Keyboard,18,e-waste,Apple,ewaste,0,0,0,0,0,0,850.7546619,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Computer Parts,Apple Magic Mouse,Window,Portable,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,No,Yes,,,,,35.0,yes,,All models of multi-touch mice (mouse) that are manufactured and sold by Apple to interact with desktop computers,The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,0.1,15.0,40.0,5.0,35.0,,,,11.35,60.0,85.0,30.0,5.7,40.0,55.0,30.0,2.2,40.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Apple Magic Mouse,20,e-waste,Apple,Small ewaste,0,0,0,0,0,0,702.597503,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Computers and Tablets,Apple Magic Trackpad,Window,Portable,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,No,Yes,,,,,35.0,yes,,"Includes all models of Apple Trackpad designed to work with your Mac desktop computer, enabling fingers to do the clicking, scrolling, and swiping function.",The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,0.3,15.0,40.0,5.0,35.0,,,,16.0,60.0,85.0,30.0,11.49,40.0,55.0,30.0,1.1,40.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Apple Magic Trackpad,20,e-waste,Apple,Small ewaste,0,0,0,0,0,0,1483.503442,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Computer Parts,Apple Pencil,Window,Portable,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,No,Yes,,,,,35.0,yes,,Apple Pencil is a line of wireless stylus pen accessories designed and developed by Apple for use with supported iPad tablets.,The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,0.02,15.0,40.0,5.0,35.0,,,,0.8,60.0,85.0,30.0,0.8,40.0,55.0,30.0,12.0,40.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Apple Pencil,20,e-waste,Apple,Small ewaste,0,0,0,0,0,0,2604.166667,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Computers and Tablets,Apple Thunderbolt Display,Window,27 inches,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,No,No,No,No,No,No,Yes,,,,,35.0,yes,,The Apple Thunderbolt Display is a 27-inch flat panel computer monitor designed and developed by Apple.,The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,11.0,15.0,40.0,5.0,35.0,,,,65.0,60.0,85.0,30.0,49.0,40.0,55.0,30.0,21.0,40.0,35.0,15.0,Y,ACON,,,1,1,OK,1,1,1,OK,True,,Apple Thunderbolt Display,18,e-waste,Apple,ewaste,0,0,0,0,0,0,164.461389,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Computers and Tablets,Apple Time Capsule,Window,27 inches,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,Yes,No,No,No,No,No,Yes,,,,,35.0,yes,,"Describes a wireless router designed and developed by Apple, featuring network-attached storage (NAS) and a residential gateway router, and is one of Apple's AirPort products",The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,1.0,15.0,40.0,5.0,35.0,,,,16.7,60.0,85.0,30.0,9.8,40.0,55.0,30.0,9.8,40.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Apple Time Capsule,17,0,Apple,ewaste,0,0,0,0,0,0,623.4927064,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Televisions and Media Players,Apple TV,Window,27 inches,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,Yes,No,No,No,No,No,Yes,,,,,35.0,yes,,All computer equipment contains rare earth metals that can be salvaged through recycling. Doing so improves environmental outcomes and drives circular supply chain innovation.,The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,0.5,15.0,40.0,5.0,35.0,,,,15.0,60.0,85.0,30.0,15.0,40.0,55.0,30.0,3.0,40.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Apple TV,20,e-waste,Apple,Small ewaste,0,0,0,0,0,0,740.7407407,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
Computer and Electronics,Wearables,Apple Watch,Window,27 inches,Standard,Large,King,As New,Used - Good Working Condition,Some Wear and Tear or Missing Parts,Damaged or Non Functional,Already Packaged / Secure,On Site Packing Required,,,Kit,APC,Eaton,Vertiv,Dell,,Yes,No,No,No,No,No,Yes,,,,,35.0,yes,,The Apple Watch is a smart watch that operates as a small wearable computing device worn on your wrist. Select this for all models of Apple Watch,The air conditioner must be drained of any unsealed coolants and packed appropriately for shipment. ,0.04,15.0,40.0,5.0,35.0,,,,4.2,60.0,85.0,30.0,3.6,40.0,55.0,30.0,1.1,40.0,35.0,15.0,Y,ACON,,,0,1,OK,1,1,1,OK,True,,Apple Watch,20,e-waste,Apple,Small ewaste,0,0,0,0,0,0,2405.002405,999.0,999.0,999.0,check weights and dims,no rate,no rate,no rate,no rate,no rate,Vinnies now accepting,
